,run_id,final_state,target_character,pe,branch_factor,exp_name,evaluator,total_iterations,n_self_alignment,feedback_type,total_timesteps,reward_feature,fewshot,problem,seed,Evaluation/llm_iteration,Evaluation/acc_imp_perc,Evaluation/exist_imp_perc,Evaluation/reach_imp_perc,Evaluation/path_length,Evaluation/fn_imp_perc,Evaluation/fp_imp_perc,Evaluation/tn_imp_perc,Evaluation/tp_imp_perc,Evaluation/solvability,Evaluation/playability
15,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,1,0.0111111123114824,0.5333333611488342,0.5333333611488342,26.000001907348633,2.566666841506958,0.4000000357627868,0.0,0.0333333350718021,0.2000000178813934,1.0
16,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,2,0.0,0.0,0.0,26.0,2.6666667461395264,0.3333333432674408,0.0,0.0,0.1666666716337204,0.9666666984558104
17,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,3,0.0333333350718021,0.6333333849906921,0.6000000238418579,26.21428680419922,2.566666841506958,0.3333333432674408,0.0,0.1000000089406967,0.1666666716337204,0.9333333969116212
18,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,4,0.0,0.6000000238418579,0.1333333402872085,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
19,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,5,0.0,0.1666666716337204,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
20,re2wd1xx,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-1_1_s-1,1,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,6,0.0,0.2000000178813934,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
21,h5m442q9,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-2_1_s-1,2,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,1,0.0,0.4166666865348816,0.0500000044703483,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
22,h5m442q9,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-2_1_s-1,2,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,2,0.0,0.6333333849906921,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
23,h5m442q9,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-2_1_s-1,2,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,3,0.0,0.98333340883255,0.2166666835546493,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0
24,h5m442q9,pe-cot_it-6_fit-hr_exp-def_t-sce_chr-2_1_s-1,2,cot,2,def,hr,6,0,default,50000000,array,False,dungeon3,1,4,0.0888888984918594,0.8666667342185974,0.8666667342185974,26.000001907348633,2.7333335876464844,0.0,0.1000000089406967,0.1666666716337204,0.1000000089406967,1.0
